Заголовок,Ціна,Площа,Кількість кімнат,Адреса,Дата створення,Посилання на оголошення
"КПІ, Солом'янський, Київ",175 000 $,98,3 кімнати,"КПІ, Солом'янський, Київ",Недоступно,https://uk.bn.ua/realty1375784/
"Куренівка, Оболонський, Київ",62 000 $,50,1 кімната,"Куренівка, Оболонський, Київ",Недоступно,https://uk.bn.ua/realty1375358/
"Відрадний, Солом'янський, Київ",54 000 $,87.7,2 кімнати,"Відрадний, Солом'янський, Київ",Недоступно,https://uk.bn.ua/realty1371963/
"Оболонь, Оболонський, Київ",52 000 $,68.7,3 кімнати,"Оболонь, Оболонський, Київ",Недоступно,https://uk.bn.ua/realty1371891/
Київ,184 548 $,загальна 60 м,3 кімнати,Київ,Недоступно,https://uk.bn.ua/realty1371304/
"Солом'янський, Київ",48 000 $,загальна 69 м,2 кімнати,"Солом'янський, Київ",Недоступно,https://uk.bn.ua/realty1367009/
"Поділ (центр), Подільський, Київ",150 000 $,107,3 кімнати,"Поділ (центр), Подільський, Київ",Недоступно,https://uk.bn.ua/realty1359875/
"Позняки, Дарницький, Київ",62 000 $,78.3,3 кімнати,"Позняки, Дарницький, Київ",Недоступно,https://uk.bn.ua/realty1356579/
"Стара Дарниця, Дніпровський, Київ",52 000 $,152,3 кімнати,"Стара Дарниця, Дніпровський, Київ",Недоступно,https://uk.bn.ua/realty1356254/
"Сирець, Шевченківський, Київ",25 000 $,36.8,1 кімната,"Сирець, Шевченківський, Київ",Недоступно,https://uk.bn.ua/realty1230753/
"Пуща-Водиця, Оболонський, Київ",49 000 $,32,1 кімната,"Пуща-Водиця, Оболонський, Київ",Недоступно,Недоступно
"Поділ (центр), Подільський, Київ",160 000 $,87,3 кімнати,"Поділ (центр), Подільський, Київ",Недоступно,Недоступно
"ЖК Liko-Grad, Голосіївський, Київ",124 999 $,84,2 кімнати,"ЖК Liko-Grad, Голосіївський, Київ",Недоступно,Недоступно
"Вітряні гори, Подільський, Київ",125 000 $,47,1 кімната,"Вітряні гори, Подільський, Київ",Недоступно,Недоступно
"Теремки 1, Голосіївський, Київ",74 999 $,50,1 кімната,"Теремки 1, Голосіївський, Київ",Недоступно,Недоступно
"Мінський масив, Оболонський, Київ",97 000 $,67,2 кімнати,"Мінський масив, Оболонський, Київ",Недоступно,Недоступно
"Позняки, Дарницький, Київ",96 900 $,94,3 кімнати,"Позняки, Дарницький, Київ",Недоступно,Недоступно
"Оболонь, Оболонський, Київ",40 000 $,35,1 кімната,"Оболонь, Оболонський, Київ",Недоступно,Недоступно
"Виноградар, Подільський, Київ",45 000 $,34,1 кімната,"Виноградар, Подільський, Київ",Недоступно,Недоступно
"Теремки 1, Голосіївський, Київ",92 000 $,46,1 кімната,"Теремки 1, Голосіївський, Київ",Недоступно,Недоступно
"Багринова гора, Голосіївський, Київ",30 000 $,55,2 кімнати,"Багринова гора, Голосіївський, Київ",Недоступно,Недоступно
"Голосіївський, Київ",94 999 $,58,1 кімната,"Голосіївський, Київ",Недоступно,Недоступно
"Міністерка озеро, Оболонський, Київ",64 000 $,44.4,1 кімната,"Міністерка озеро, Оболонський, Київ",Недоступно,Недоступно
"Вишгородський масив, Оболонський, Київ",87 000 $,43,1 кімната,"Вишгородський масив, Оболонський, Київ",Недоступно,Недоступно
"Оболонь, Оболонський, Київ",145 000 $,100,3 кімнати,"Оболонь, Оболонський, Київ",Недоступно,Недоступно
"Соцмістечко, Дніпровський, Київ",35 000 $,30,1 кімната,"Соцмістечко, Дніпровський, Київ",Недоступно,Недоступно
"Воскресенка, Дніпровський, Київ",36 900 $,35,1 кімната,"Воскресенка, Дніпровський, Київ",Недоступно,Недоступно
"ВДНГ, Голосіївський, Київ",150 000 $,104,3 кімнати,"ВДНГ, Голосіївський, Київ",Недоступно,Недоступно
"ВДНГ, Голосіївський, Київ",84 000 $,41,1 кімната,"ВДНГ, Голосіївський, Київ",Недоступно,Недоступно
"Голосієво, Голосіївський, Київ",72 000 $,60,2 кімнати,"Голосієво, Голосіївський, Київ",Недоступно,Недоступно
"Багринова гора, Голосіївський, Київ",102 000 $,94,3 кімнати,"Багринова гора, Голосіївський, Київ",Недоступно,Недоступно
"Багринова гора, Голосіївський, Київ",58 500 $,51,1 кімната,"Багринова гора, Голосіївський, Київ",Недоступно,Недоступно
"Біличе поле, Подільський, Київ",66 000 $,60,2 кімнати,"Біличе поле, Подільський, Київ",Недоступно,Недоступно
"Печерський р-н (центр), Печерський, Київ",170 000 $,92,4 кімнати,"Печерський р-н (центр), Печерський, Київ",Недоступно,Недоступно
"Оболонський, Київ",75 000 $,68,3 кімнати,"Оболонський, Київ",Недоступно,Недоступно
"Оболонський, Київ",45 000 $,31,1 кімната,"Оболонський, Київ",Недоступно,Недоступно
"Оболонський, Київ",119 000 $,67,2 кімнати,"Оболонський, Київ",Недоступно,Недоступно
"Оболонський, Київ",130 333 $,78,3 кімнати,"Оболонський, Київ",Недоступно,Недоступно
"Оболонський, Київ",57 000 $,36,1 кімната,"Оболонський, Київ",Недоступно,Недоступно
